epoch,train_loss,val_loss,lr,tf_prob,time_s
1,8.510212,6.763147,9.990232e-04,0.000000,23.62
2,5.767769,5.178828,9.960968e-04,0.000000,23.30
3,4.807305,4.299073,9.912322e-04,0.000000,24.04
4,4.217268,4.219832,9.844487e-04,0.000000,23.43
5,4.110199,3.928433,9.757730e-04,0.000000,23.34
6,3.992014,3.948298,9.652394e-04,0.000000,23.29
7,3.925197,3.814137,9.528894e-04,0.000000,23.28
8,3.856790,3.741765,9.387718e-04,0.000000,23.22
9,3.815526,3.760476,9.229423e-04,0.000000,23.28
10,3.765521,3.806125,9.054634e-04,0.000000,23.29
11,3.739437,3.673858,8.864041e-04,0.000000,23.42
12,3.713961,3.709342,8.658395e-04,0.000000,23.26
13,3.688812,3.658355,8.438508e-04,0.000000,23.40
14,3.653450,3.555898,8.205249e-04,0.000000,23.26
15,3.603876,3.572319,7.959537e-04,0.000000,23.52
16,3.597996,3.556561,7.702343e-04,0.000000,23.55
17,3.574430,3.553865,7.434681e-04,0.000000,23.64
18,3.544007,3.539794,7.157607e-04,0.000000,22.94
19,3.542300,3.532074,6.872217e-04,0.000000,23.11
20,3.492095,3.558323,6.579634e-04,0.000000,23.25
21,3.504849,3.449635,6.281015e-04,0.000000,23.45
22,3.457744,3.529702,5.977538e-04,0.000000,23.33
23,3.457972,3.436457,5.670400e-04,0.000000,23.32
24,3.455218,3.441050,5.360813e-04,0.000000,23.23
25,3.431996,3.449723,5.050000e-04,0.000000,23.44
26,3.384840,3.446451,4.739187e-04,0.000000,23.46
27,3.421359,3.437766,4.429600e-04,0.000000,23.41
28,3.374953,3.415427,4.122462e-04,0.000000,23.38
29,3.375724,3.382293,3.818985e-04,0.000000,23.46
30,3.319297,3.409987,3.520366e-04,0.000000,23.41
31,3.329255,3.381552,3.227783e-04,0.000000,23.30
32,3.336950,3.336155,2.942393e-04,0.000000,22.96
33,3.302519,3.383691,2.665319e-04,0.000000,23.55
34,3.307738,3.316829,2.397657e-04,0.000000,23.47
35,3.293764,3.363989,2.140463e-04,0.000000,23.31
36,3.291474,3.365077,1.894751e-04,0.000000,23.28
37,3.263863,3.305229,1.661492e-04,0.000000,23.23
38,3.253573,3.305532,1.441605e-04,0.000000,23.26
39,3.262653,3.299263,1.235959e-04,0.000000,23.22
40,3.240103,3.284239,1.045366e-04,0.000000,23.35
41,3.235273,3.294056,8.705768e-05,0.000000,23.23
42,3.214502,3.293712,7.122819e-05,0.000000,23.43
43,3.221941,3.273543,5.711061e-05,0.000000,23.33
44,3.200595,3.275022,4.476064e-05,0.000000,23.46
45,3.227196,3.274919,3.422702e-05,0.000000,23.18
46,3.200479,3.275664,2.555134e-05,0.000000,22.95
47,3.206556,3.273415,1.876781e-05,0.000000,23.44
48,3.189986,3.273699,1.390322e-05,0.000000,23.29
49,3.181909,3.265306,1.097677e-05,0.000000,23.15
50,3.201632,3.263753,1.000000e-05,0.000000,23.17
